country,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,5,7,7,8,8,9,9,9,8,8,9,9,9,16,21,21,21,22,22,25,25,25,25,25,25,32,31,31,31,31,31,35,35,68,68,68
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,8,8,13,23,23,43,61,74,155,201,238,238,428,531,623,736,903,1117,1280,1562,1842,2057,2285,2570,2781,3051,3288,3606,3819,4050,4175,4383,4641,4865,4990,5074,5076,5179,5242,5403,5515,5569,5617,5692,5716,5750,5840,5805,5931,6118,6288,6448,6612,7216,7756,8616,9362,9958
China,503,595,858,1325,1970,2737,5277,5834,7835,9375,11357,15806,18677,22373,25762,28477,31393,33413,35705,37424,38638,38560,52309,56860,57452,57992,58108,58002,56541,54825,54608,51859,51390,49631,47413,45365,42924,39809,37199,34898,32368,29864,27402,25230,23702,22159,20335,18933,17567,16116,14859,13569,12124,10783,9906,9030,8106,7372,6731,6189,5799,5410,5030,4603,4310,3881,3600,3236,2967,2764,2640,2545,2425,2267,2062,2020,1973,1905,1865,1810,1794,1835,1829,1761,1699,1656,1572,1537,1479,1436,1418,1371,1265,1154,1098,998,907,881,833,796,749,736,643,537
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,9,9,13,22,34,54,64,92,101,127,195,226,271,369,458,477,523,592,682,771,859,1009,1087,1187,1289,1362,1445,1630,1877,1980,2196,2395,2397,2421,2498,2522,2539,2652,2652,2902,2984,3149,3280,3419,3653,3842,4002,4134,4412,4518,4775,5141,5295,5606,5808
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3
Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,5,17,21,25,32,39,47,50,52,50,61,76,90,107,116,136,136,151,171,176,191,191,203,232,237,248,248,251,313,323,365,382,402,418,433,453,469,496,514,539,556,565,582,660,692,761,761,768
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,9,9,13,22,23,26,27,35,41,50,68,88,113,130,154,173,197,227,258,290,309,324,341,369,388,403,420,436,447,457,470,506,513,525,536,547,549,555,564,557,554,543,532,513,495,484,465,445,425,404,393,384,375,364,355,347,337
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,5,8,8,13,13,24,71,77,93,98,98,160,161,171,180,178,198,219,221,279,305,333,389,389,471,484,531,518,518,502,489,554,578,578,600,628,631,644,644,668,651,644,667,687,721,725,728,722
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,6,7,7,9,10,10,11,12,12,12,14,19,19,31,37,48,55,61,77,99,122,200,248,309,376,419,470,546,607,655,717,794,884,916,979,995,1042,1076,1097,1145,1168,1243,1190,1204,1225,1258,1235,1227,1178,1178,1115,1063,1059,1033,1048,976,928,872,814,752,707,659,589,548,528,499
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,5,6,10,15,20,34,39,46,55,64,74,112,132,162,172,194,214,248,267,297,323,358,418,472,498,527,559,584,613,639,664,700,727,746,766,790,808,827,820,849,814,808,804,792,759,759,780,755,723
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,6,14,26,26,33,46,49,67,67,84,91,112,118,126,139,142,159,194,201,231,283,318,357,382,400,411,438,465,501,527,545,557,585,618,638,646,661,670,674,679,674,679,684,692,648,655,659,674,680,539,546,553,561,563
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,12,18,19,31,31,41,91,94,141,189,253,295,393,461,691,829,989,1113,1229,1381,1638,1906,2259,2609,2790,2953,3232,3408,3747,3966,4335,4424,4623,4757,4980,5156,5267,5291,5389,5397,5308,5231,5292,5202,5198,5262,5147,5079,4935,4825,4688,4681,4639,4396,4329,4244,4132,4125,4049,3946,3760
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,6,11,11,23,23,36,91,263,443,616,803,834,872,929,1020,1111,1218,1327,1406,1500,1547,1650,1787,1932,2091,2244,2419,2605,2872,2215,2278,2520,2729,2953,3199,3442,3616,3710,3838,3820,3805,3825,3718,3642,3550,3361,3060,2897,2848,2632,2448,2304,2290,2367,2357,2321,2302,2205,2163,2125,2046,2054,2091
Diamond Princess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,64,135,135,175,175,218,285,355,454,542,620,631,631,631,688,688,688,691,691,689,689,689,689,690,690,690,660,660,660,660,660,374,374,374,374,374,374,374,380,380,380,379,379,379,377,115,105,105,105,99,99,99,98,82,82,82,82,82,82,82,82,82,82,82,82,61,61,56,55,55,55,55,55,55,54,54,54,54,54,54,54,54,54,54,54,54
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,11,11,12,14,18,18,30,33,40,41,42,50,81,81,110,110,113,149,176,255,308,362,516,654,654,742,742,831,789,732,667,633,610,556,572,476,445,423,424,424,401
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,7,11,11,11,11,11,12,12,12,12,14,14,14,14,14,14,11,11,8,8,8,8,8,8,8,8,8,8,7,7,6,3,3,3,3,3,3,3,3,3,3
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,5,5,5,5,5,5,11,11,11,20,20,32,70,110,199,242,303,379,475,558,688,817,855,1053,1218,1304,1404,1404,1646,1709,1822,1953,2151,2396,2516,2663,2838,2941,3217,3344,3658,3806,4091,4313,4336,4459,4697,4719,4831,4947,5018,4965,5131,5370,5588,5771,6015,6118
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,10,13,13,13,14,15,15,17,17,17,26,26,35,56,109,196,362,496,772,960,1052,1142,1366,1556,1772,1863,1899,2111,2597,2978,3158,3193,3366,3456,3456,4068,4354,6496,6531,6632,6577,6538,6690,6984,7191,7558,7933,8471,8671,9051,9295,20777,20777,20777,21020,21830,22235,22476,23360,23961,24674,26879
